lig_1,lig_2,freenrg,error,engine
1a,3a,0.5613499999999999,1.6780499999999998,SOMD
3a,1a,1.2679,0.34479999999999994,SOMD
1a,1b,-0.55905,0.8758499999999999,SOMD
1b,1a,1.109,0.03810000000000002,SOMD
5k,5c,0.2133,0.1208,SOMD
5c,5k,-0.28855,0.6649499999999999,SOMD
5k,5j,-0.9031,0.04669999999999996,SOMD
5j,5k,0.784,0.04099999999999998,SOMD
5k,5a,2.2697000000000003,0.44329999999999997,SOMD
5a,5k,-1.68905,0.5010500000000001,SOMD
5k,5e,0.9867999999999999,0.13689999999999997,SOMD
5e,5k,-0.7067,0.3535,SOMD
5k,5h,2.1811,0.6963999999999999,SOMD
5h,5k,-1.2582499999999999,0.030349999999999988,SOMD
5k,5m,-0.49534999999999996,0.18854999999999997,SOMD
5m,5k,0.7367,0.11899999999999998,SOMD
5c,5b,-0.024050000000000016,0.41724999999999995,SOMD
5b,5c,-0.61105,0.25125,SOMD
5j,5m,0.32999999999999996,0.11169999999999998,SOMD
5m,5j,-0.3163,0.344,SOMD
3b,3a,0.89465,0.030049999999999966,SOMD
3a,3b,-0.8049,0.04360000000000002,SOMD
3b,5l,-1.0453000000000001,0.7808999999999999,SOMD
5l,3b,0.9492499999999999,0.06314999999999998,SOMD
5b,7,-0.21675000000000005,0.87545,SOMD
7,5b,-0.8109999999999999,0.9015999999999998,SOMD
3a,5d,-1.2168999999999999,0.8869999999999999,SOMD
5d,3a,0.27565,0.35355,SOMD
5g,5f,0.72055,0.01755000000000001,SOMD
5f,5g,-0.6411,0.01849999999999996,SOMD
5g,7,0.8029,0.5881,SOMD
7,5g,-0.95395,0.99415,SOMD
5f,5i,-0.39345,0.41755,SOMD
5i,5f,0.50185,0.11714999999999999,SOMD
5o,7,8.166599999999999,3.3761,SOMD
7,5o,-1.92645,3.3186499999999994,SOMD
5o,5n,0.7166,0.07150000000000001,SOMD
5n,5o,-1.33045,0.13015,SOMD
5o,5p,0.63835,0.17714999999999997,SOMD
5p,5o,-0.42604999999999993,0.79445,SOMD
5l,5e,1.49055,0.09755000000000001,SOMD
5e,5l,-0.8190500000000001,0.37955000000000005,SOMD
5l,7,3.0740999999999996,0.9519999999999997,SOMD
7,5l,-1.1153499999999998,1.5859499999999997,SOMD
7,1b,2.3037,1.7039,SOMD
1b,7,1.7228499999999998,2.32265,SOMD
7,5d,0.3847999999999999,0.7471999999999999,SOMD
5d,7,0.9739,0.9186,SOMD
7,5i,0.8345,0.6819999999999999,SOMD
5i,7,0.89595,0.72735,SOMD
5h,5m,-1.2536,0.40280000000000005,SOMD
5m,5h,2.6505,0.08139999999999992,SOMD
5n,5p,-0.1048,0.07619999999999999,SOMD
5p,5n,-0.11804999999999999,0.20104999999999998,SOMD
5p,5i,0.47844999999999993,0.8890499999999999,SOMD
5i,5p,-0.7072,0.07349999999999995,SOMD
