lig_1,lig_2,freenrg,error,engine
1a,3a,-1.2154666666666667,0.16107238883323374,SOMD
3a,1a,0.8916333333333334,0.36533977488238417,SOMD
1a,1b,-1.3132666666666666,0.1410605110503212,SOMD
1b,1a,0.7025666666666667,0.26244129713984504,SOMD
5k,5o,2.9491333333333336,1.476840628203027,SOMD
5o,5k,5.191966666666667,3.5588509706239617,SOMD
5k,5m,-0.35756666666666664,0.15859304664594992,SOMD
5m,5k,0.5294,0.08077084870174389,SOMD
5c,5a,0.6138333333333333,0.3789675858317056,SOMD
5a,5c,-1.7495,0.42650581863948034,SOMD
5c,5b,-0.08266666666666667,0.41141755890795156,SOMD
5b,5c,0.14103333333333332,0.6549150004220224,SOMD
5j,5b,1.0498333333333332,0.13364755058652508,SOMD
5b,5j,-0.7287333333333333,0.0643199381564103,SOMD
5j,5d,1.4452,0.13342896986786637,SOMD
5d,5j,-1.2929666666666668,0.16126732809565333,SOMD
3b,3a,0.7022333333333334,0.11463356595886058,SOMD
3a,3b,-1.0561,0.15757805473267317,SOMD
3b,5d,0.054933333333333355,0.6464773631853717,SOMD
5d,3b,0.06943333333333333,0.248436882214466,SOMD
5a,3a,0.8661,0.6996365627952845,SOMD
3a,5a,-0.20763333333333334,0.08408345721827677,SOMD
5b,5l,-0.5469,0.11395512274575462,SOMD
5l,5b,0.4123666666666667,0.07062460226043363,SOMD
3a,1b,-0.2649000000000001,0.5806539617821732,SOMD
1b,3a,-0.2786,0.7547385794653229,SOMD
5g,5h,1.6489666666666665,0.19607036435366207,SOMD
5h,5g,-0.5727666666666666,0.40904568747811587,SOMD
5g,5i,0.5709666666666667,0.03496342533435634,SOMD
5i,5g,-0.4116666666666666,0.10759258545292258,SOMD
5f,5l,-1.4327333333333334,0.30726501771453113,SOMD
5l,5f,1.2967333333333333,0.20537771165451346,SOMD
5f,5i,-0.42273333333333335,0.24497666101987034,SOMD
5i,5f,0.2387,0.2955238287064739,SOMD
5o,5m,-0.6802,1.502262357246563,SOMD
5m,5o,-1.6769666666666667,5.265743267046396,SOMD
5e,7,1.1211,0.6337724696871373,SOMD
7,5e,0.004966666666666712,0.9518610198506456,SOMD
5e,5d,0.09303333333333334,0.11474351591460166,SOMD
5d,5e,0.208,0.06124265942407575,SOMD
7,5d,0.7348666666666667,0.4021939015505387,SOMD
5d,7,0.24216666666666667,0.11587213259067562,SOMD
5h,5i,-1.1154,0.12171155792829756,SOMD
5i,5h,0.6717,0.274265491814045,SOMD
5n,5d,-1.5665666666666667,2.1725621320868544,SOMD
5d,5n,-3.3483000000000005,1.4855612284026984,SOMD
5n,5p,0.010199999999999999,0.047395815567762234,SOMD
5p,5n,-0.0005000000000000004,0.16932201077631145,SOMD
5d,5p,-0.08633333333333333,0.34564492538506103,SOMD
5p,5d,0.6932,0.6897879553408665,SOMD
5d,5m,-1.2571666666666668,0.10811993854563144,SOMD
5m,5d,0.8725333333333335,0.1001827884973817,SOMD
5m,5i,1.1520666666666666,0.16606515120411156,SOMD
5i,5m,-0.9287,0.18027316309793126,SOMD
