lig_1,lig_2,freenrg,error,engine
1a,3a,-0.9993,0.2032,SOMD
3a,1a,1.5081,0.1791,SOMD
1a,1b,-1.032,0.0946,SOMD
1b,1a,0.2386,0.1037,SOMD
5k,5c,-0.3892,0.157,SOMD
5c,5k,-0.0025,0.1822,SOMD
5k,5j,-0.7829,0.0825,SOMD
5j,5k,1.1175,0.0858,SOMD
5k,5a,1.4779,0.0813,SOMD
5a,5k,-1.7469,0.1004,SOMD
5k,5e,1.1879,0.1074,SOMD
5e,5k,-0.7292,0.0963,SOMD
5k,5h,1.4216,0.0966,SOMD
5h,5k,-1.3369,0.0855,SOMD
5k,5m,-0.6541,0.0447,SOMD
5m,5k,0.3681,0.0546,SOMD
5c,5b,-0.5447,0.073,SOMD
5b,5c,-0.0865,0.0785,SOMD
5j,5m,1.1245,0.1206,SOMD
5m,5j,-0.4809,0.1229,SOMD
3b,3a,0.543,0.0638,SOMD
3a,3b,-1.107,0.0569,SOMD
3b,5l,-1.0563,0.1157,SOMD
5l,3b,0.5109,0.1143,SOMD
5b,7,0.5844,0.0894,SOMD
7,5b,-0.2588,0.0927,SOMD
3a,5d,-1.3931,0.0828,SOMD
5d,3a,-0.0757,0.076,SOMD
5g,5f,0.5437,0.0733,SOMD
5f,5g,-0.6942,0.0788,SOMD
5g,7,1.8429,0.1489,SOMD
7,5g,0.021,0.1496,SOMD
5f,5i,0.0302,0.0459,SOMD
5i,5f,-0.3303,0.0447,SOMD
5o,7,3.8421,0.3482,SOMD
7,5o,-0.1215,0.5671,SOMD
5o,5n,0.7886,0.0927,SOMD
5n,5o,-0.4184,0.0942,SOMD
5o,5p,0.8212,0.1573,SOMD
5p,5o,-1.0925,0.1775,SOMD
5l,5e,1.2438,0.1583,SOMD
5e,5l,-1.9755,0.1599,SOMD
5l,7,-0.2354,0.1203,SOMD
7,5l,-0.9057,0.1134,SOMD
7,1b,-0.2027,1.1852,SOMD
1b,7,-1.4373,1.043,SOMD
7,5d,-0.0695,0.0433,SOMD
5d,7,0.4543,0.0428,SOMD
7,5i,0.2789,0.1272,SOMD
5i,7,1.2523,0.1238,SOMD
5h,5m,-2.6895,0.1029,SOMD
5m,5h,1.225,0.1201,SOMD
5n,5p,0.1045,0.1209,SOMD
5p,5n,0.0594,0.1258,SOMD
5p,5i,0.7273,0.3886,SOMD
5i,5p,-0.7302,0.3851,SOMD
