index,CID,SMILES,mHash,mHashGeneric
0,ANT-DIA-3c79be55-1,N#Cc1ccccc1NC(=O)Cc1c[nH]c2ncccc12,c1ccc(NCCc2c[nH]c3ncccc23)cc1,C1CCC(CCCC2CCC3CCCCC32)CC1
1,ANT-DIA-3c79be55-2,N#Cc1ccccc1NC(=O)Cc1cccnc1,c1ccc(NCCc2cccnc2)cc1,C1CCC(CCCC2CCCCC2)CC1
2,ANT-DIA-3c79be55-3,CCNc1ccc(C#N)c(NC(=O)Cc2c[nH]c3ncccc23)c1,c1ccc(NCCc2c[nH]c3ncccc23)cc1,C1CCC(CCCC2CCC3CCCCC32)CC1
3,ANT-DIA-3c79be55-4,CS(=O)(=O)Cc1ccc(C(=O)Nc2cccnc2)o1,c1cncc(NCc2ccco2)c1,C1CCC(CCC2CCCC2)CC1
4,ANT-DIA-3c79be55-5,O=C(Nc1cccnc1)c1ccc(N2CCC(O)CC2)o1,c1cncc(NCc2ccc(N3CCCCC3)o2)c1,C1CCC(CCC2CCC(C3CCCCC3)C2)CC1
5,ROB-UNI-b2e39629-1,CCNc1ccc(C#N)cc1CCNS(C)(=O)=O,c1ccccc1,C1CCCCC1
6,ROB-UNI-b2e39629-2,CS(=O)(=O)NCCc1c[nH]c2c(CCNS(C)(=O)=O)cc(Cl)cc12,c1ccc2[nH]ccc2c1,C1CCC2CCCC2C1
7,ROB-UNI-b2e39629-3,CCn1cc(CCNS(C)(=O)=O)c2cc(C#N)cc(CCNS(C)(=O)=O)c21,c1ccc2[nH]ccc2c1,C1CCC2CCCC2C1
8,ROB-UNI-b2e39629-4,CC(=O)NCCc1c[nH]c2c(CCNS(C)(=O)=O)cc(Cl)cc12,c1ccc2[nH]ccc2c1,C1CCC2CCCC2C1
9,ROB-UNI-b2e39629-5,CCn1cc(CCNC(C)=O)c2cc(C#N)cc(CCNS(C)(=O)=O)c21,c1ccc2[nH]ccc2c1,C1CCC2CCCC2C1
10,ROB-UNI-b2e39629-6,CC(=O)NCCc1c[nH]c2c(C(C)NC(C)=O)cc(Cl)cc12,c1ccc2[nH]ccc2c1,C1CCC2CCCC2C1
11,ROB-UNI-b2e39629-7,CC(=O)NCCc1c[nH]c2c(C(C)NC(C)=O)cc(C#N)cc12,c1ccc2[nH]ccc2c1,C1CCC2CCCC2C1
12,ROB-UNI-b2e39629-8,CCn1cc(CCNC(C)=O)c2cc(C#N)cc(C(C)NC(C)=O)c21,c1ccc2[nH]ccc2c1,C1CCC2CCCC2C1
13,ROB-UNI-b2e39629-9,CC(=O)NCCc1ccnc2c(CCNS(C)(=O)=O)cc(Cl)cc12,c1ccc2ncccc2c1,C1CCC2CCCCC2C1
14,ROB-UNI-b2e39629-10,CC(=O)NCCc1ccnc2c(CCNS(C)(=O)=O)cc(C#N)cc12,c1ccc2ncccc2c1,C1CCC2CCCCC2C1
15,ROB-UNI-b2e39629-11,CC(=O)NCCc1cn(CC(=O)N2CCOCC2)c2ccc(Cl)cc12,c1ccc2c(c1)ccn2CCN1CCOCC1,C1CCC(CCC2CCC3CCCCC32)CC1
16,ROB-UNI-b2e39629-12,CC(=O)NCCc1cn(CC(=O)N2CCOCC2)c2ccc(C#N)cc12,c1ccc2c(c1)ccn2CCN1CCOCC1,C1CCC(CCC2CCC3CCCCC32)CC1
17,DAR-DIA-23aa0b97-1,N#Cc1cccc(NC(=O)Cc2c[nH]c3ncccc23)c1,c1ccc(NCCc2c[nH]c3ncccc23)cc1,C1CCC(CCCC2CCC3CCCCC32)CC1
18,DAR-DIA-23aa0b97-2,N#Cc1cncc(NC(=O)Cc2c[nH]c3ncccc23)c1,c1cncc(NCCc2c[nH]c3ncccc23)c1,C1CCC(CCCC2CCC3CCCCC32)CC1
19,DAR-DIA-23aa0b97-3,N#Cc1cccc(NC(=O)Cc2cncc(N)c2)c1,c1ccc(NCCc2cccnc2)cc1,C1CCC(CCCC2CCCCC2)CC1
20,DAR-DIA-23aa0b97-4,N#Cc1cccc(NC(=O)Cc2cccnc2)c1,c1ccc(NCCc2cccnc2)cc1,C1CCC(CCCC2CCCCC2)CC1
21,DAR-DIA-23aa0b97-5,N#Cc1cccc(NC(=O)Nc2cccnc2)c1,c1ccc(NCNc2cccnc2)cc1,C1CCC(CCCC2CCCCC2)CC1
22,DAR-DIA-23aa0b97-6,N#Cc1cncc(NC(=O)Cc2cccnc2)c1,c1cncc(CCNc2cccnc2)c1,C1CCC(CCCC2CCCCC2)CC1
23,DAR-DIA-23aa0b97-7,N#Cc1cncc(NC(=O)Cc2cncc(N)c2)c1,c1cncc(CCNc2cccnc2)c1,C1CCC(CCCC2CCCCC2)CC1
24,DAR-DIA-23aa0b97-8,N#Cc1cccc(NC(=O)Nc2cncc(N)c2)c1,c1ccc(NCNc2cccnc2)cc1,C1CCC(CCCC2CCCCC2)CC1
