index,CID,SMILES
13654,MAT-POS-b3e365b9-1,O=C(Nc1cncc2ccccc12)[C@@H]1CCOc2ccc(Cl)cc21
13663,EDJ-MED-e4b030d8-1,C[C@@]1(C(=O)Nc2cncc3ccccc23)C(=O)COc2ccc(Cl)cc21
13664,EDJ-MED-e4b030d8-2,C[C@@H]1C[C@@H](C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2O1
13665,EDJ-MED-e4b030d8-3,C[C@H]1C[C@@H](C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2O1
13666,EDJ-MED-e4b030d8-4,O=C(Nc1cncc2ccccc12)[C@@H]1CCOc2c(OC3COC3)cc(Cl)cc21
13667,EDJ-MED-e4b030d8-5,O=C(Nc1cncc2ccccc12)[C@@H]1CCOc2c(C3COC3)cc(Cl)cc21
13668,EDJ-MED-e4b030d8-6,CCC[C@H]1COc2ccc(Cl)cc2[C@@H]1C(=O)Nc1cncc2ccccc12
13669,EDJ-MED-e4b030d8-7,COc1cc(Cl)cc2c1OCC[C@H]2C(=O)Nc1cncc2ccccc12
13670,EDJ-MED-e4b030d8-8,Cc1c(Cl)ccc2c1[C@H](C(=O)Nc1cncc3ccccc13)CCO2
13671,EDJ-MED-e4b030d8-9,O=C(Nc1cncc2ccccc12)[C@@H]1CCOc2ccc(Cl)nc21
13672,EDJ-MED-e4b030d8-10,O=C(Nc1cncc2ccccc12)[C@@H]1CCOc2ccc(Cl)c(Cl)c21
13673,EDJ-MED-e4b030d8-11,C[C@H]1COc2ccc(Cl)cc2[C@@H]1C(=O)Nc1cncc2ccccc12
13675,EDJ-MED-e4b030d8-13,C[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21
13768,MAT-POS-8a69d52e-7,C[C@@H]1COc2ccc(Cl)cc2[C@@H]1C(=O)Nc1cncc2ccccc12
13776,VLA-UCB-50c39ae8-1,CC(=O)N(C(=O)[C@@H]1CCOc2ccc(Cl)cc21)c1cncc2ccccc12
13777,VLA-UCB-50c39ae8-2,O=C1C[C@]2(CCOc3ccc(Cl)cc32)C(=O)N1c1cncc2ccccc12
13778,VLA-UCB-50c39ae8-3,O=C1CC[C@]2(CCOc3ccc(Cl)cc32)C(=O)N1c1cncc2ccccc12
13779,VLA-UCB-50c39ae8-4,CC(=O)N1CCN(CC(=O)N(C(=O)[C@@H]2CCOc3ccc(Cl)cc32)c2cncc3ccccc23)CC1
